"FMF_OBJECT_ID","CONC_CLASS_SHORT_NAME","GEOG_UNIT_TYPE_NUM","GEOG_UNIT_DESCR","VERIFICATION_STATUS_FLG","VERIFICATION_STATUS_DATE","BUSINESS_EFF_DATE_FLG","BUSINESS_EFFECTIVE_DATE","BUSINESS_EXPIRY_DATE","LOCATION_ACCURACY","LOCATION_DESCR","DATA_SENSITIVITY_IND","SENSITIVITY_CLASS","SENSITIVITY_DATE","SENSITIVITY_RATIONALE","SENS_RATIONALE_OTHER_DESCR","SYSTEM_CALCULATED_AREA","SYSTEM_CALCULATED_LENGTH","USER_CALCULATED_METRIC","GENERAL_COMMENTS","PUBLISHER_ID","EFFECTIVE_DATETIME","EXPIRY_DATETIME","EXT_EFFECTIVE_DATETIME","EXT_EXPIRY_DATETIME"
"67907526","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:29:42","No Restriction Needed","","2049382463.071","221644.366","","","0","2009-01-27-15:38:10","","2009-01-20-09:08:58",""
"67907527","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:29:46","No Restriction Needed","","1848942300.616","326546.835","","","0","2011-01-01-01:30:03","","2010-12-30-10:29:04",""
"67907529","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:29:51","No Restriction Needed","","1673600816.593","286161.277","","","0","2008-11-03-12:10:01","","2008-10-22-11:19:55",""
"67907530","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:29:56","No Restriction Needed","","2850065626.476","358176.506","","","0","2008-11-03-12:10:01","","2008-10-22-11:20:10",""
"67907531","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:01","No Restriction Needed","","2838332207.485","458847.610","","","0","2008-11-03-12:10:01","","2008-10-22-11:20:31",""
"67907532","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:06","No Restriction Needed","","3415112760.837","332029.346","","","0","2008-11-03-12:10:01","","2008-10-22-11:20:56",""
"67907533","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:14","No Restriction Needed","","3998743692.294","741820.644","","","0","2008-11-03-12:10:01","","2008-10-22-11:22:18",""
"67907534","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:23","No Restriction Needed","","4530785851.018","378379.751","","","0","2008-11-03-12:10:01","","2008-10-22-11:23:06",""
"67907535","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:29","No Restriction Needed","","1728396819.451","228680.141","","","0","2008-11-03-12:10:01","","2008-10-22-11:23:35",""
"67907536","MUNIC","70","2561","Verified","1996-01-01-00:00:00","Actual","2008-01-01-00:00:00","","Within 50 metres","Within 50 meters","No","Non-Sensitive","2008-03-13-15:30:36","No Restriction Needed","","277876856.546","149882.610","","","0","2008-11-03-12:10:01","","2008-10-22-11:24:02",""
